"","X","ID","Strain.x","ident","Age","Weight.x","mediantemps","Date.x","Clutch","shh_R2_spot","shh_M1_spot","shh_M2_spot","cap_transition","M1_spot_split_LR","shboob","Total_state","stateord","Symmetry","groupwt","nid.x","Age.dpc.","Date.y","Strain.y","Weight.y","Litter","Weekday","indata","age","poids","portee","agerel","poidscor","agecor","agepreditsanscor","poidscor2","agecor2","dev01","dev.inf","dev.sup","sd","dev05","dev15","nid.y"
"60",60,"shh_13.5_15_132_FV","FVB",317,13.5,132,13.773,"12/08/14","FV",0,0,0,0,0,0,"0_0_0_0","097_0_0_0_0","-",97,"132FV",13.5,"4/30/2015","FVB",132,"FV",5,TRUE,13.5,4.88280192258637,"FV",-1.5,4.90885914612379,13.5708177732093,13.5144631673694,4.89400652870746,13.5386956478806,13.5269172172447,13.094051586303,13.9249712339264,"001",13.5114410079669,13.5611463011663,"132FV"
"61",61,"shh_13.5_11_135_DZ","DUHi",45,13.5,135,13.557,"4/30/2015","DZ",2,0,0,0,0,0,"2_0_0_0","123_2_0_0_0","-",123,"135DZ",13.5,"11/19/2014","DUHi",135,"DZ",4,TRUE,13.5,4.90527477843843,"DZ",-1.5,4.86989582235798,13.8866107390013,13.9526522670301,4.89006182732384,13.9242544099777,13.9414914200614,13.5859909155108,14.2877749087291,"001",13.9510347746277,13.8975812610603,"135DZ"
"62",62,"shh_13.5_21_136_FU","FVB",311,13.5,136,13.858,"11/19/2014","FU",0,0,0,0,0,1,"0_0_0_1","162_0_0_0_1","-",162,"136FU",13.5,"4/29/2015","FVB",136,"FU",4,TRUE,13.5,4.91265488573605,"FU",-1.5,4.91437957601236,13.5827569443183,13.5790269137347,4.91339650255487,13.5806308268856,13.5756871032434,13.1425447884378,13.9774601464604,"001",13.5739089881523,13.5789316291366,"136FU"
"63",63,"shh_13.5_17_137_FV","FVB",319,13.5,137,13.564,"4/29/2015","FV",0,0,0,0,0,1,"0_0_0_1","162_0_0_0_1","-",162,"137FV",13.5,"4/30/2015","FVB",137,"FV",5,TRUE,13.5,4.91998092582813,"FV",-1.5,4.94603814936554,13.6512257288075,13.5948711229676,4.93118553194921,13.6191036034788,13.6072939370347,13.176315773756,14.0051217094495,"001",13.5920114423559,13.6413429009229,"137FV"
"64",64,"shh_14.0_19_139_DF","DUHi",66,14,139,13.633,"4/30/2015","DF",2,0,0,0,0,0,"2_0_0_0","123_2_0_0_0","-",123,"139DF",14,"7/17/2014","DUHi",139,"DF",5,TRUE,14,4.93447393313069,"DF",-1,5.01720185770482,14.1615853775987,14.0071580243126,4.97004694069757,14.0735617862256,14.043439259623,13.6812241330392,14.3939706776387,"001",14.0193874074401,14.1425249335677,"139DF"
"65",65,"shh_14.0_19_139_DF","DUHi",67,14,139,13.633,"4/30/2015","DF",2,0,0,0,0,0,"2_0_0_0","123_2_0_0_0","-",123,"139DF",14,"7/17/2014","DUHi",139,"DF",5,TRUE,14,4.93447393313069,"DF",-1,5.01720185770482,14.1615853775987,14.0071580243126,4.97004694069757,14.0735617862256,14.043439259623,13.6812241330392,14.3939706776387,"001",14.0193874074401,14.1425249335677,"139DF"
"66",66,"shh_14.0_09_140_DF","DUHi",68,14,140,14.136,"7/17/2014","DF",2,0,0,0,0,0,"2_0_0_0","123_2_0_0_0","-",123,"140DF",14,"7/17/2014","DUHi",140,"DF",5,TRUE,14,4.9416424226093,"DF",-1,5.02437034718343,14.1749667220835,14.0205393687974,4.97721543017618,14.0869431307104,14.0568626882778,13.6944590955125,14.4072631860635,"001",14.0327407437319,14.1559448736792,"140DF"
"67",67,"shh_14.0_22_141_DAA","DUHi",50,14,141,14.138,"7/17/2014","DAA",2,0,0,0,0,0,"2_0_0_0","123_2_0_0_0","Y",123,"141DAA",14,"5/12/2014","DUHi",141,"DAA",2,TRUE,14,4.94875989037817,"DAA",-1,5.02727383910987,14.1803866401559,14.0338254715892,4.9825208883328,14.0968467740729,14.0661371579712,13.7008981045284,14.4091106539761,"001",14.044654802515,14.1560974751214,"141DAA"
"68",68,"shh_14.0_03_141_DD","DUHi",60,14,141,14.156,"7/17/2014","DD",2,0,0,0,0,1,"2_0_0_1","145_2_0_0_1","Y",145,"141DD",14,"1/20/2014","DUHi",141,"DD",2,TRUE,14,4.94875989037817,"DD",-1,5.19004842660187,14.4842362635815,14.0338254715892,5.05251396095436,14.2275021121459,14.1355018032706,13.7739116424515,14.4768317782307,"001",14.0617011650884,14.4246365505824,"141DD"
"69",69,"shh_14.0_08_141_FJ","FVB",372,14,141,14.155,"05/12/14","FJ",0,0,0,0,0,1,"0_0_0_1","162_0_0_0_1","Y",162,"141FJ",14,"12/8/2014","FVB",141,"FJ",2,TRUE,14,4.94875989037817,"FJ",-1,5.08643102195246,13.9548568883593,13.6571121058325,5.00795847695511,13.785142362319,13.7184025311469,13.2804246756952,14.125082665199,"001",13.6650459810169,13.9203451526648,"141FJ"
"70",70,"shh_14.0_23_142_DAA","DUHi",51,14,142,14.431,"1/20/2014","DAA",2,0,0,0,0,0,"2_0_0_0","123_2_0_0_0","-",123,"142DAA",14,"5/12/2014","DUHi",142,"DAA",2,TRUE,14,4.95582705760126,"DAA",-1,5.03434100633297,14.193578847444,14.0470176788773,4.98958805555589,14.1100389813609,14.0793815929663,13.7142015872632,14.4215006844717,"001",14.0577268780823,14.1692983489622,"142DAA"
"71",71,"shh_14.0_20_142_DU","DUHi",87,14,142,13.932,"12/08/14","DU",0,0,0,0,0,0,"0_0_0_0","097_0_0_0_0","Y",97,"142DU",14,"10/14/2014","DUHi",142,"DU",3,TRUE,14,4.95582705760126,"DU",-1,5.08607474595238,14.2901496791933,14.0470176788773,5.01183356359224,14.1515644390132,14.1042853684289,13.7504829673124,14.4468810370241,"001",14.060408768303,14.2597492703028,"142DU"
"72",72,"shh_14.0_10_143_DF","DUHi",69,14,143,14.169,"05/12/14","DF",2,0,0,0,0,1,"2_0_0_1","145_2_0_0_1","Y",145,"143DF",14,"7/17/2014","DUHi",143,"DF",5,TRUE,14,4.96284463025991,"DF",-1,5.04557255483404,14.2145446617957,14.0601173085095,4.99841763782678,14.1265210704226,14.0964612235995,13.7354565356586,14.4460755262751,"001",14.0723464592944,14.1952462148462,"143DF"
"73",73,"shh_14.0_10_143_DF","DUHi",70,14,143,14.169,"05/12/14","DF",2,0,0,0,0,1,"2_0_0_1","145_2_0_0_1","Y",145,"143DF",14,"7/17/2014","DUHi",143,"DF",5,TRUE,14,4.96284463025991,"DF",-1,5.04557255483404,14.2145446617957,14.0601173085095,4.99841763782678,14.1265210704226,14.0964612235995,13.7354565356586,14.4460755262751,"001",14.0723464592944,14.1952462148462,"143DF"
"74",74,"shh_14.0_07_143_DR","DUHi",74,14,143,14.237,"10/14/2014","DR",2,0,0,0,0,1,"2_0_0_1","145_2_0_0_1","Y",145,"143DR",14,"7/30/2014","DUHi",143,"DR",4,TRUE,14,4.96284463025991,"DR",-1,4.91933782061152,13.9789036010642,14.0601173085095,4.9441367021111,14.025195414308,14.0428214638934,13.6783510121792,14.403852604832,"001",14.0568433774606,13.9911872406398,"143DR"
"75",75,"shh_13.5_03_143_FA","FVB",283,13.5,143,14.202,"7/17/2014","FA",0,0,0,0,0,1,"0_0_0_1","162_0_0_0_1","-",162,"143FA",13.5,"7/17/2014","FVB",143,"FA",5,TRUE,13.5,4.96284463025991,"FA",-1.5,4.95813935225672,13.6773973014673,13.6875735233067,4.96082136071854,13.6831977479158,13.6891312904333,13.2693057656479,14.0897930212839,"001",13.6810631966498,13.6819572719172,"143FA"
"76",76,"shh_14.0_16_144_DR","DUHi",75,14,144,14.188,"7/17/2014","DR",2,0,0,0,0,1,"2_0_0_1","145_2_0_0_1","-",145,"144DR",14,"7/30/2014","DUHi",144,"DR",4,TRUE,14,4.969813299576,"DR",-1,4.92630648992761,13.9919119433374,14.0731256507827,4.95110537142719,14.0382037565812,14.0557668611875,13.6914660082307,14.4165820348619,"001",14.0697635031971,14.0041040561849,"144DR"
"77",77,"shh_14.0_09_148_FJ","FVB",373,14,148,13.98,"7/30/2014","FJ",0,0,0,0,0,1,"0_0_0_1","162_0_0_0_1","Y",162,"148FJ",14,"12/8/2014","FVB",148,"FJ",2,TRUE,14,4.99721227376411,"FJ",-1,5.1348834053384,14.0596460637601,13.7619012812332,5.05641086034106,13.8899315377198,13.8237322917641,13.3895491400623,14.2282076768034,"001",13.7696131212577,14.0247459147053,"148FJ"
"78",78,"shh_15.0_10_151_FAA","FVB",484,15,151,13.655,"7/17/2014","FAA",0,0,0,0,0,1,"0_0_0_1","162_0_0_0_1","-",162,"151FAA",15,"5/27/2015","FVB",151,"FAA",4,TRUE,15,5.01727983681492,"FAA",0,5.13065266420932,14.0504961346282,13.8053018992719,5.06603015259451,13.9107354204751,13.8543112457751,13.4149617706435,14.2653006658399,"001",13.8121717954434,14.0211651614163,"151FAA"
"79",79,"shh_14.0_11_157_DF","DUHi",71,14,157,13.988,"7/30/2014","DF",2,0,0,0,0,1,"2_0_0_1","145_2_0_0_1","Y",145,"157DF",14,"7/17/2014","DUHi",157,"DF",5,TRUE,14,5.05624580534831,"DF",-1,5.13897372992244,14.3888956604091,14.234468307123,5.09181881291518,14.300872069036,14.2697223158138,13.9114663704272,14.6174158498985,"001",14.2462719210794,14.3692749854995,"157DF"
"80",80,"shh_14.0_10_159_FJ","FVB",375,14,159,14.031,"12/08/14","FJ",0,0,0,0,0,1,"0_0_0_1","162_0_0_0_1","-",162,"159FJ",14,"12/8/2014","FVB",159,"FJ",2,TRUE,14,5.06890420222023,"FJ",-1,5.20657533379452,14.214695981655,13.9169511991282,5.12810278879718,14.0449814556147,13.9793858024861,13.5509893119666,14.3806031538824,"001",13.9246239790118,14.1799695421649,"159FJ"
"81",81,"shh_14.0_17_161_DR","DUHi",77,14,161,14.131,"5/27/2015","DR",1,0,0,0,0,1,"1_0_0_1","179_1_0_0_1","Y",179,"161DR",14,"7/30/2014","DUHi",161,"DR",4,TRUE,14,5.08140436498446,"DR",-1,5.03789755533607,14.2002178203447,14.2814315277901,5.06269643683566,14.2465096335886,14.2624510701569,13.904603942905,14.6203345662916,"001",14.2778338495974,14.212248900186,"161DR"
"82",82,"shh_14.5_10_161_FR","FVB",448,14.5,161,14.347,"7/17/2014","FR",1,0,0,0,0,1,"1_0_0_1","179_1_0_0_1","Y",179,"161FR",14.5,"3/4/2015","FVB",161,"FR",4,TRUE,14.5,5.08140436498446,"FR",-0.5,5.21787786854864,14.239140254858,13.9439856122344,5.14008797151706,14.0709021085626,13.9997462439673,13.5750582594033,14.4056637213951,"001",13.9546267605957,14.2071658363808,"161FR"
"83",83,"shh_14.5_14_163_DH","DUHi",122,14.5,163,14.178,"12/08/14","DH",1,0,0,0,0,1,"1_0_0_1","179_1_0_0_1","-",179,"163DH",14.5,"1/22/2014","DUHi",163,"DH",4,TRUE,14.5,5.09375020080676,"DH",-0.5,4.89849575203671,13.9399979292057,14.3044773706534,5.00979078783564,14.1477512108309,14.2217559666086,13.8659885561882,14.5801416844042,"001",14.285464014067,13.986907969257,"163DH"
"84",84,"shh_14.5_11_163_FR","FVB",450,14.5,163,14.19,"7/30/2014","FR",0,0,0,0,0,1,"0_0_0_1","162_0_0_0_1","-",162,"163FR",14.5,"3/4/2015","FVB",163,"FR",4,TRUE,14.5,5.09375020080676,"FR",-0.5,5.23022370437094,14.2658409012462,13.9706862586226,5.15243380733936,14.0976027549507,14.0264470781724,13.6034040314859,14.4315577950722,"001",13.9813875308202,14.233724207529,"163FR"
"85",85,"shh_14.0_01_163-167_FB","FVB",367,14,165,14.251,"03/04/15","FB",0,0,0,0,0,1,"0_0_0_1","162_0_0_0_1","Y",162,"165FB",14,"5/6/2014","FVB",165,"FB",3,TRUE,14,5.10594547390058,"FB",-1,5.0867210741143,13.9554841913884,13.9970612792507,5.09767898199248,13.9791831314699,13.998817804723,13.5823618178414,14.4033685455731,"001",13.9922980742168,13.9567319969983,"165FB"
"86",86,"shh_14.0_03_163-167_FB","FVB",367,14,165,13.989,"1/22/2014","FB",0,0,0,0,0,1,"0_0_0_1","162_0_0_0_1","Y",162,"165FB",14,"5/6/2014","FVB",165,"FB",3,TRUE,14,5.10594547390058,"FB",-1,5.0867210741143,13.9554841913884,13.9970612792507,5.09767898199248,13.9791831314699,13.998817804723,13.5823618178414,14.4033685455731,"001",13.9922980742168,13.9567319969983,"165FB"
"87",87,"shh_14.0_04_163-167_FB","FVB",367,14,165,14.276,"03/04/15","FB",1,0,0,0,0,1,"1_0_0_1","179_1_0_0_1","-",179,"165FB",14,"5/6/2014","FVB",165,"FB",3,TRUE,14,5.10594547390058,"FB",-1,5.0867210741143,13.9554841913884,13.9970612792507,5.09767898199248,13.9791831314699,13.998817804723,13.5823618178414,14.4033685455731,"001",13.9922980742168,13.9567319969983,"165FB"
"88",88,"shh_14.0_08_169_DR","DUHi",78,14,169,13.96,"05/06/14","DR",2,0,0,0,0,1,"2_0_0_1","145_2_0_0_1","Y",145,"169DR",14,"7/30/2014","DUHi",169,"DR",4,TRUE,14,5.12989871492307,"DR",-1,5.08639190527468,14.2907417171897,14.3719554246351,5.11119078677427,14.3370335304336,14.352735286914,13.9956723005621,14.7091446454857,"001",14.3680404373198,14.3029388918437,"169DR"
"89",89,"shh_14.0_24_177_DAA","DUHi",52,14,177,14.273,"7/30/2014","DAA",1,0,0,0,0,1,"1_0_0_1","179_1_0_0_1","Y",179,"177DAA",14,"5/12/2014","DUHi",177,"DAA",2,TRUE,14,5.17614973257383,"DAA",-1,5.25466368130553,14.604852885081,14.4582917165143,5.20991073052846,14.521313018998,14.4889135054155,14.130846176146,14.8289776267146,"001",14.4678446346214,14.5793259771535,"177DAA"
"90",90,"shh_14.5_24_178_DI","DUHi",134,14.5,178,14.558,"05/12/14","DI",1,0,0,0,0,1,"1_0_0_1","179_1_0_0_1","-",179,"178DI",14.5,"3/4/2014","DUHi",178,"DI",3,TRUE,14.5,5.18178355029209,"DI",-0.5,4.95599963485478,14.047339827035,14.4688083052431,5.08469646665404,14.2875768596136,14.369919901744,14.0152172464979,14.7303067672583,"001",14.447042141865,14.1024201541873,"178DI"
"91",91,"shh_14.5_01_178_FC","FVB",405,14.5,178,14.092,"03/04/14","FC",0,1,0,1,0,1,"0_1_1_1","199_0_1_1_1","-",199,"178FC",14.5,"4/23/2014","FVB",178,"FC",4,TRUE,14.5,5.18178355029209,"FC",-0.5,5.21660752850993,14.2363928588409,14.1610781744722,5.19675786092576,14.1934634887507,14.1796824409913,13.766077388625,14.5721945872329,"001",14.1571450475751,14.2327700389615,"178FC"
"92",92,"shh_14.5_28_184_FQ","FVB",442,14.5,184,14.258,"4/23/2014","FQ",0,1,0,1,0,1,"0_1_1_1","199_0_1_1_1","y",199,"184FQ",14.5,"2/26/2015","FVB",184,"FQ",5,TRUE,14.5,5.21493575760899,"FQ",-0.5,5.34288525819314,14.5094968475462,14.2327772783074,5.26995404286017,14.3517666930801,14.2878949941275,13.8781188599984,14.6803275895263,"001",14.2419641438043,14.4699788318933,"184FQ"
"93",93,"shh_14.5_29_185_FQ","FVB",443,14.5,185,14.5,"2/26/2015","FQ",0,1,0,1,0,1,"0_1_1_1","199_0_1_1_1","-",199,"185FQ",14.5,"2/26/2015","FVB",185,"FQ",5,TRUE,14.5,5.22035582507832,"FQ",-0.5,5.34830532566248,14.5212189623533,14.2444993931146,5.27537411032951,14.3634888078872,14.299472491853,13.8902611075199,14.692110804256,"001",14.2537714017569,14.4818095526136,"185FQ"
"94",94,"shh_14.5_21_186_DAD","DUHi",93,14.5,186,14.508,"2/26/2015","DAD",1,0,0,0,0,1,"1_0_0_1","179_1_0_0_1","y",179,"186DAD",14.5,"4/30/2015","DUHi",186,"DAD",5,TRUE,14.5,5.2257466737132,"DAD",-0.5,5.09811990598096,14.3126342536909,14.550873808845,5.17086716358834,14.4484308001287,14.4978615407042,14.1473982107848,14.8562062136095,"001",14.5385079936716,14.3489451824991,"186DAD"
"95",95,"shh_15.0_09_186_DJ","DUHi",162,15,186,14.35,"4/30/2015","DJ",1,1,0,1,0,1,"1_1_1_1","202_1_1_1_1","-",202,"186DJ",15,"1/30/2014","DUHi",186,"DJ",5,TRUE,15,5.2257466737132,"DJ",0,5.33809060217255,14.760585047451,14.550873808845,5.27405456295072,14.6410496414455,14.6003111683663,14.2454287132716,14.9460951392836,"001",14.5628293354332,14.7379839136547,"186DJ"
"96",96,"shh_14.5_30_189_FQ","FVB",445,14.5,189,14.77,"1/30/2014","FQ",0,1,0,1,0,1,"0_1_1_1","199_0_1_1_1","-",199,"189FQ",14.5,"2/26/2015","FVB",189,"FQ",5,TRUE,14.5,5.24174701505964,"FQ",-0.5,5.36969651564379,14.5674822212962,14.2907626520574,5.29676530031083,14.4097520668301,14.3456807041504,13.9378048826932,14.7388601407483,"001",14.3000490033863,14.5280813676853,"189FQ"
"97",97,"shh_14.5_14_190_FZ","FVB",475,14.5,190,14.551,"2/26/2015","FZ",0,2,0,1,0,1,"0_2_1_1","227_0_2_1_1","y",227,"190FZ",14.5,"5/13/2015","FVB",190,"FZ",4,TRUE,14.5,5.24702407216049,"FZ",-0.5,5.26720397750823,14.3458190583016,14.3021754747814,5.25570143146001,14.3209422156951,14.3218846954781,13.9042938507268,14.7159806278167,"001",14.2975328997616,14.3399669796852,"190FZ"
"98",98,"shh_14.5_22_191_DAD","DUHi",94,14.5,191,14.358,"5/13/2015","DAD",1,0,0,0,0,1,"1_0_0_1","179_1_0_0_1","y",179,"191DAD",14.5,"4/30/2015","DUHi",191,"DAD",5,TRUE,14.5,5.25227342804663,"DAD",-0.5,5.12464666031439,14.3621514691182,14.6003910242722,5.19739391792177,14.4979480155559,14.5469617206969,14.1979888270289,14.9060060565287,"001",14.588123946551,14.3981163797521,"191DAD"
"99",99,"shh_14.0_11_195_FP","FVB",428,14,195,14.407,"4/30/2015","FP",0,1,0,1,0,1,"0_1_1_1","199_0_1_1_1","-",199,"195FP",14.5,"2/25/2015","FVB",195,"FP",4,TRUE,14.5,5.27299955856375,"FP",-0.5,5.29494297558144,14.405810879785,14.3583533056871,5.28243522788136,14.3787600625492,14.3723431478372,13.9605169589499,14.7761698704198,"001",14.3539350766361,14.3976698500943,"195FP"
"100",100,"shh_14.0_12_199_FP","FVB",432,14,199,14.406,"2/25/2015","FP",0,1,0,1,0,1,"0_1_1_1","199_0_1_1_1","-",199,"199FP",14.5,"2/25/2015","FVB",199,"FP",4,TRUE,14.5,5.29330482472449,"FP",-0.5,5.31524824174219,14.4497255842553,14.4022680101574,5.3027404940421,14.4226747670195,14.4163806464915,14.0056350752073,14.8207899143852,"001",14.3977432689131,14.4413582789153,"199FP"
"101",101,"shh_15.0_14_203_DAB","DUHi",146,15,203,14.458,"2/25/2015","DAB",1,1,0,1,0,1,"1_1_1_1","202_1_1_1_1","Y",202,"203DAB",15,"10/30/2014","DUHi",203,"DAB",5,TRUE,15,5.31320597904179,"DAB",0,5.47170026572562,15.0099928117841,14.7141331811992,5.38135852231584,14.8413528223507,14.7763115013292,14.4165767510496,15.1313013632013,"001",14.7309580566958,14.9674254661204,"203DAB"
"102",102,"shh_14.5_32_207_FZ","FVB",478,14.5,207,14.974,"10/30/2014","FZ",0,1,0,1,0,1,"0_1_1_1","199_0_1_1_1","y",199,"207FZ",14.5,"5/13/2015","FVB",207,"FZ",4,TRUE,14.5,5.33271879326537,"FZ",-0.5,5.35289869861311,14.5311531643506,14.4875095808304,5.3413961525649,14.5062763217441,14.507598057171,14.0928224583177,14.9028210431793,"001",14.4823543081907,14.5245030829132,"207FZ"
"103",103,"shh_14.5_34_209_FZ","FVB",479,14.5,209,14.54,"5/13/2015","FZ",0,2,0,2,0,1,"0_2_2_1","325_0_2_2_1","-",325,"209FZ",14.5,"5/13/2015","FVB",209,"FZ",4,TRUE,14.5,5.34233425196481,"FZ",-0.5,5.36251415731255,14.5519487561832,14.5083051726631,5.35101161126434,14.5270719135768,14.5284380524311,14.1142432520977,14.9235073617606,"001",14.5030209894727,14.5454183969526,"209FZ"
"104",104,"shh_14.5_36_214_FZ","FVB",481,14.5,214,14.555,"5/13/2015","FZ",0,2,0,2,0,1,"0_2_2_1","325_0_2_2_1","-",325,"214FZ",14.5,"5/13/2015","FVB",214,"FZ",4,TRUE,14.5,5.36597601502185,"FZ",-0.5,5.38615592036959,14.6030793855278,14.5594358020076,5.37465337432138,14.5782025429213,14.5796292109399,14.1652704923887,14.9751417456447,"001",14.5542217624477,14.5965771220403,"214FZ"
"105",105,"shh_14.5_13_215_FP","FVB",436,14.5,215,14.602,"5/13/2015","FP",0,1,0,1,0,1,"0_1_1_1","199_0_1_1_1","-",199,"215FP",14.5,"2/25/2015","FVB",215,"FP",4,TRUE,14.5,5.37063802812766,"FP",-0.5,5.39258144514536,14.6169760278747,14.5695184537768,5.38007369744527,14.5899252106389,14.583894058805,14.1767184674546,14.9883925960309,"001",14.5648889413607,14.6083112642999,"215FP"
"106",106,"shh_14.5_23_217_DAD","DUHi",95,14.5,217,14.623,"2/25/2015","DAD",1,0,0,0,0,1,"1_0_0_1","179_1_0_0_1","-",179,"217DAD",14.5,"4/30/2015","DUHi",217,"DAD",5,TRUE,14.5,5.37989735354046,"DAD",-0.5,5.25227058580822,14.6003857186954,14.8386252738494,5.3250178434156,14.7361822651332,14.7835050799363,14.4392235896955,15.1432606934111,"001",14.8261108476196,14.6357079044334,"217DAD"
"107",107,"shh_14.5_06_218_FZ","FVB",482,14.5,218,14.629,"4/30/2015","FZ",0,2,0,1,0,1,"0_2_1_1","227_0_2_1_1","y",227,"218FZ",14.5,"5/13/2015","FVB",218,"FZ",4,TRUE,14.5,5.38449506278909,"FZ",-0.5,5.40467496813683,14.6431309910242,14.5994874075041,5.39317242208862,14.6182541484177,14.6197626828941,14.2062569987608,15.0153266201139,"001",14.5941985835146,14.6367836627945,"218FZ"
"108",108,"shh_15.0_01_219_DK","DUHi",173,15,219,14.636,"5/13/2015","DK",1,2,0,2,1,1,"1_2_2_1","235_1_2_2_1","Y",235,"219DK",15,"3/13/2014","DUHi",219,"DK",5,TRUE,15,5.3890717298165,"DK",0,5.27864255052449,14.64961398996,14.8557509862815,5.34158718272094,14.7671120778632,14.803076689945,14.4621514284134,15.1524903285128,"001",14.8435003774546,14.678617671243,"219DK"
"109",109,"shh_15.0_06_221_DK","DUHi",174,15,221,14.691,"3/13/2014","DK",1,2,0,2,0,1,"1_2_2_1","235_1_2_2_1","-",235,"221DK",15,"3/13/2014","DUHi",221,"DK",5,TRUE,15,5.39816270151775,"DK",0,5.28773352222574,14.6665840119429,14.8727210082644,5.35067815442219,14.7840820998462,14.8200306538287,14.4790705430984,15.1695588601704,"001",14.8604144250927,14.6953988049531,"221DK"
"110",110,"shh_14.5_08_221_FL","FVB",418,14.5,221,14.701,"3/13/2014","FL",0,2,0,2,0,1,"0_2_2_1","325_0_2_2_1","Y",325,"221FL",14.5,"12/11/2014","FVB",221,"FL",5,TRUE,14.5,5.39816270151775,"FL",-0.5,5.40269400122337,14.6388467045794,14.629046749934,5.40011116039117,14.6332607304315,14.638639396884,14.2278381783004,15.0343839176771,"001",14.6242325644258,14.6397977066538,"221FL"
"111",111,"shh_14.5_28_223_DAF","DUHi",102,14.5,223,14.638,"12/11/14","DAF",1,1,0,1,0,1,"1_1_1_1","202_1_1_1_1","-",202,"223DAF",14.5,"10/29/2015","DUHi",223,"DAF",5,TRUE,14.5,5.40717177146012,"DAF",-0.5,5.21831886916724,14.5370084036307,14.8895381450889,5.32596502347418,14.7379503562619,14.8091995161458,14.4706155858533,15.1711061688019,"001",14.8696105041857,14.5803144251259,"223DAF"
"112",112,"shh_14.5_02_228_DG","DUHi",115,14.5,228,14.548,"10/29/2015","DG",1,2,0,2,0,1,"1_2_2_1","235_1_2_2_1","-",235,"228DG",14.5,"12/17/2013","DUHi",228,"DG",3,TRUE,14.5,5.42934562895444,"DG",-0.5,5.19480158258798,14.4931089302472,14.9309298534222,5.32849168901686,14.742666856457,14.8301071737391,14.4855667370355,15.1903958278311,"001",14.9057195537137,14.5465900192216,"228DG"
"113",113,"shh_15.0_11_229_FAA","FVB",485,15,229,14.515,"12/17/2013","FAA",0,2,0,1,0,1,"0_2_1_1","227_0_2_1_1","-",227,"229FAA",15,"5/27/2015","FVB",229,"FAA",4,TRUE,15,5.43372200355424,"FAA",0,5.54709483094864,14.9511459727818,14.7059517374255,5.48247231933383,14.8113852586287,14.7576334250397,14.348178707418,15.1590775444831,"001",14.7111691780651,14.9232661199584,"229FAA"
"114",114,"shh_14.5_25_236_DAF","DUHi",108,14.5,236,14.951,"5/27/2015","DAF",1,1,0,1,0,1,"1_1_1_1","202_1_1_1_1","-",202,"236DAF",14.5,"10/29/2015","DUHi",236,"DAF",5,TRUE,14.5,5.46383180502561,"DAF",-0.5,5.27497890273274,14.6427750968683,14.9953048383266,5.38262505703967,14.8437170494996,14.9143643143192,14.5757800932269,15.2761576017109,"001",14.9747378641594,14.6856381006898,"236DAF"
"115",115,"shh_14.0_27_237_DG","DUHi",116,14,237,14.657,"10/29/2015","DG",1,1,0,1,0,1,"1_1_1_1","202_1_1_1_1","y",202,"237DG",14.5,"12/17/2013","DUHi",237,"DG",3,TRUE,14.5,5.46806014113513,"DG",-0.5,5.23351609476867,14.5653769060318,15.0031978292068,5.36720620119755,14.8149348322415,14.9021389280104,14.5573080596302,15.2631923891918,"001",14.9781145024339,14.6186841119444,"237DG"
"116",116,"shh_14.5_10_238_DI","DUHi",137,14.5,238,14.585,"12/17/2013","DI",1,1,0,1,0,1,"1_1_1_1","202_1_1_1_1","-",202,"238DI",14.5,"3/4/2014","DUHi",238,"DI",3,TRUE,14.5,5.47227067367148,"DI",-0.5,5.24648675823417,14.5895891081347,15.0110575863427,5.37518359003343,14.8298261407132,14.909217203229,14.5637077692319,15.2705959160907,"001",14.9879106149504,14.6416831686092,"238DI"
"117",117,"shh_15.0_13_241_FAA","FVB",487,15,241,14.614,"03/04/14","FAA",0,2,0,2,0,1,"0_2_2_1","325_0_2_2_1","-",325,"241FAA",15,"5/27/2015","FVB",241,"FAA",4,TRUE,15,5.48479693349065,"FAA",0,5.59816976088505,15.0616069948755,14.8164127595192,5.53354724927024,14.9218462807224,14.8683366593239,14.4610137072215,15.2713637144757,"001",14.8215659401066,15.0337342430857,"241FAA"
"118",118,"shh_15.5_06_244_DV","DUHi",223,15.5,244,15.054,"5/27/2015","DV",1,2,0,2,0,1,"1_2_2_1","235_1_2_2_1","y",235,"244DV",15.5,"10/23/2014","DUHi",244,"DV",5,TRUE,15.5,5.4971682252932,"DV",0.5,5.41299987478808,14.9004174047373,15.0575335860736,5.460975834576,14.989973628099,15.0149411064276,14.6753101393313,15.3673701173918,"001",15.0485514840825,14.9237188074919,"244DV"
"119",119,"shh_15.0_05_245_DJ","DUHi",169,15,245,14.969,"10/23/2014","DJ",0,2,0,1,0,1,"0_2_1_1","227_0_2_1_1","-",227,"245DJ",15,"1/30/2014","DUHi",245,"DJ",5,TRUE,15,5.50125821054473,"DJ",0,5.61360213900408,15.2748795574573,15.0651683188513,5.54956609978225,15.1553441514519,15.1114259157501,14.7607174567117,15.4625605000249,"001",15.0763617979076,15.2510873399837,"245DJ"
"120",120,"shh_16.5_01_246_DW","DUHi",241,16.5,246,15.266,"1/30/2014","DW",1,2,0,2,0,1,"1_2_2_1","235_1_2_2_1","Y",235,"246DW",16.5,"9/25/2014","DUHi",246,"DW",5,TRUE,16.5,5.50533153593236,"DW",1.5,6.03762547290469,16.0663994888822,15.0727719528349,5.73421792883046,15.5000317933352,15.2891709359239,14.9197506061975,15.6617657703709,"001",15.1290155317227,15.9247867557462,"246DW"
